lp_link,lp_name,lp_addr,lp_salestatus,lp_wuyetp,lp_tag,lp_price,lp_phone,lp_dp,lp_huxing,lp_area
https://cq.fang.anjuke.com/loupan/240622.html,约克郡,渝北照母山怡和路9号,在售,住宅,"轨交房,湖景,大型超市,刚需房",总价560/万元/套起,400-603-2266 转 13113,45,"['3室', '4室', '别墅']",150-443
https://cq.fang.anjuke.com/loupan/253223.html,叠彩山,渝北悦来悦城路86号,在售,住宅,"轨交房,改善房,飘窗,洋房",总价116/万元/套起,400-603-2266 转 91971,47,"['1室', '2室', '3室', '4室', '5室']",22.57-150.4
https://cq.fang.anjuke.com/loupan/252917.html,约克郡北区,渝北照母山金州大道湖映路,在售,住宅,"湖景,大型超市,轨交房,学校",最低21000/元/㎡起,400-603-2266 转 91246,31,"['4室', '5室', '6室']",150-430
https://cq.fang.anjuke.com/loupan/428504.html,新城金科桃李郡,渝北两路空港渝北中学旁,待售,住宅,"即将开盘,学校,广场,品牌开发商",None,400-603-2266 转 97872,19,['4室'],109.62-119.55
https://cq.fang.anjuke.com/loupan/383183.html,渝开发星河one,渝北回兴兴腾路9号,待售,别墅,"轨交房,使用面积多,露台",None,400-603-2266 转 40527,35,['别墅'],118-249
https://cq.fang.anjuke.com/loupan/427226.html,金科美邻汇,渝北大竹林金开大道西段与斑竹路交汇处,在售,店铺,"轨交房,品牌开发商,广场,公园",最低20000/元/㎡起,400-603-2266 转 96580,13,[],136494
https://cq.fang.anjuke.com/loupan/414755.html,融创金开融府,"渝北鸳鸯金开大道,近云竹路",在售,别墅,"轨交房,即将开盘,湖景,学校",总价400/万元/套起,400-603-2266 转 27842,14,['别墅'],170-235
https://cq.fang.anjuke.com/loupan/418572.html,万科金域蓝湾,渝北汽博中心金果大道66号,待售,住宅,"轨交房,即将开盘,改善房,湖景",None,400-603-2266 转 74108,110,['4室'],141
https://cq.fang.anjuke.com/loupan/432028.html,金茂国际生态新城商业,渝北中央公园公园西路与同茂大道交汇处,在售,店铺,"轨交房,低总价,综合体,大型社区",均价30000/元/㎡,400-603-2266 转 54455,11,[],816000
https://cq.fang.anjuke.com/loupan/409294.html,华侨城天澜美墅,渝北礼嘉金渝大道33号（6号线平场站旁）,在售,别墅,"轨交房,医院,游乐园,公园",总价280/万元/套起,400-603-2266 转 24224,18,['别墅'],159-800
https://cq.fang.anjuke.com/loupan/427934.html,北辰悦来壹号,渝北悦来悦融一路（国际博览中心旁）,在售,住宅,"轨交房,即将开盘,改善房,品牌开发商",总价142/万元/套起,400-603-2266 转 97300,54,"['2室', '3室', '4室', '别墅']",47-125
https://cq.fang.anjuke.com/loupan/413751.html,力帆时代,渝北龙头寺新溉大道和东湖南路交汇处,在售,商务公寓,"轨交房,酒店式公寓,公园,综合体",均价13800/元/㎡,400-603-2266 转 41859,20,[],140678
https://cq.fang.anjuke.com/loupan/431051.html,复地T2公馆,渝北回兴服装城大道,在售,公寓,"轨交房,刚需房,品牌开发商,山景",均价8000/元/㎡,400-603-2266 转 52780,13,['公寓'],45
https://cq.fang.anjuke.com/loupan/253227.html,尚格锦园,渝北鸳鸯云山路1号,在售,住宅,"轨交房,学校,医院,飘窗",最低11200/元/㎡起,400-603-2266 转 91983,75,"['1室', '2室', '3室']",55-92.52
https://cq.fang.anjuke.com/loupan/253218.html,金茂国际生态新城,渝北中央公园中央公园北路288号,待售,住宅,"轨交房,即将开盘,飘窗,公园",None,400-603-2266 转 91958,52,"['3室', '4室', '别墅']",93-331
https://cq.fang.anjuke.com/loupan/241150.html,复地花屿城,渝北回兴兴锦路19号,待售,别墅,"轨交房,改善房,学校,主卧套房",None,400-603-2266 转 13685,36,['别墅'],120-275
https://cq.fang.anjuke.com/loupan/383740.html,金瓯理工国际,渝北两江新区嘉福路108号,待售,住宅,"飘窗,双卫,使用面积多,大户型",None,400-603-2266 转 40724,106,"['2室', '3室']",61-114
https://cq.fang.anjuke.com/loupan/247817.html,两江春城,"渝北冉家坝盘溪路,近余松路",待售,住宅,"轨交房,学校,游乐园,单身公寓",None,400-603-2266 转 20832,55,['别墅'],107-153
https://cq.fang.anjuke.com/loupan/415004.html,国盛IEC中心,渝北回兴创新经济走廊两港大道188号,在售,办公楼,轨交房,均价7500/元/㎡,400-603-2266 转 28995,2,[],206764
https://cq.fang.anjuke.com/loupan/247789.html,北大资源博雅,渝北照母山金州大道106号,在售,住宅,"改善房,轨交房,学校,刚需房",均价17000/元/㎡,400-603-2266 转 20804,116,"['1室', '2室', '3室']",40-141
https://cq.fang.anjuke.com/loupan/432183.html,泰德晟景台,渝北礼嘉礼仁大道旁,待售,住宅,"即将开盘,轨交房,改善房,湖景",None,400-603-2266 转 54696,15,"['2室', '3室']",98-104
https://cq.fang.anjuke.com/loupan/252124.html,香林豪郡,渝北回兴霓裳大道6号（南方翻译学院新大门对面...,待售,住宅,"轨交房,刚需房,飘窗,双卫",None,400-603-2266 转 28237,31,"['1室', '2室', '3室']",53.38-137
https://cq.fang.anjuke.com/loupan/394525.html,鹏润鹿山台,渝北中央公园同茂大道23号,待售,住宅,"轨交房,湖景,大型超市,美食街",None,400-603-2266 转 47377,42,"['1室', '2室', '3室', '4室']",41.15-126.3
https://cq.fang.anjuke.com/loupan/400660.html,棕榈泉悦江国际,"渝北悦来国博大道,近悦来滨江路",在售,住宅,"轨交房,带泳池,品牌开发商,双卫",最低16000/元/㎡起,400-603-2266 转 59535,38,['4室'],135-230
https://cq.fang.anjuke.com/loupan/251512.html,北城空港天地,渝北两路空港空港大道777号,待售,住宅,"轨交房,飘窗,双卫,双阳台",None,400-603-2266 转 26897,62,"['1室', '2室']",60-89
https://cq.fang.anjuke.com/loupan/248492.html,申佳上海时光,渝北回兴银梭大道1号,在售,住宅,"轨交房,刚需房,学校,医院",均价12500/元/㎡,400-603-2266 转 21522,143,"['2室', '3室', '4室']",63-114
https://cq.fang.anjuke.com/loupan/412228.html,蓝光林肯公园,"巴南巴滨路渝南分流道,近二塘街",在售,住宅,"轨交房,即将开盘,改善房,大型超市",均价8815/元/㎡,400-062-7020,118,"['3室', '4室']",100-168.41
https://cq.fang.anjuke.com/loupan/431532.html,金科碧桂园旭辉千江凌云,巴南巴滨路梅沁绿洲湿地公园旁,待售,住宅,"低总价,品牌开发商,大型社区,综合体",None,400-019-1382,72,[],1050000
https://cq.fang.anjuke.com/loupan/431927.html,佳兆业广场愉景湾,巴南龙洲湾龙洲大道275号,在售,住宅,"品牌开发商,即将开盘,景观小区,双卫",均价7500/元/㎡,400-036-6901,38,['3室'],89-105
https://cq.fang.anjuke.com/loupan/416956.html,恒大新城,巴南龙洲湾渝南大道1113号,在售,住宅,"品牌开发商,游乐园,飘窗,双卫",最低7782/元/㎡起,400-016-0712,79,"['1室', '2室', '3室', '4室']",56-146
https://cq.fang.anjuke.com/loupan/383117.html,斌鑫江南御府,巴南李家沱龙洲大道1778号,在售,住宅,"轨交房,刚需房,品牌开发商,飘窗",均价7990/元/㎡,400-603-2266 转 40384,101,"['1室', '2室', '3室', '4室']",45.82-95.41
https://cq.fang.anjuke.com/loupan/297533.html,新鸥鹏拉菲公馆,巴南龙洲湾鸥鹏大道2号,在售,住宅,"轨交房,学校,品牌开发商,山景",最低7200/元/㎡起,400-603-2266 转 39177,111,"['3室', '4室', '公寓']",39.26-128.74
https://cq.fang.anjuke.com/loupan/252780.html,华南城巴南华府,巴南南泉东城大道8号,待售,住宅,"即将开盘,广场,商场,综合体",None,400-603-2266 转 90740,45,"['1室', '2室', '3室']",53.74-107.9
https://cq.fang.anjuke.com/loupan/297744.html,巴南府邸,巴南鱼洞龙洲大道1号,在售,住宅,"轨交房,飘窗,双卫,三房朝南",最低7500/元/㎡起,400-603-2266 转 39415,186,"['2室', '3室', '4室']",82.32-146
https://cq.fang.anjuke.com/loupan/416689.html,荣盛锦绣南山,巴南龙洲湾盛龙路550号（海洋公园旁）,在售,住宅,"轨交房,学校,品牌开发商,医院",总价110/万元/套起,400-603-2266 转 68650,50,['3室'],95-115
https://cq.fang.anjuke.com/loupan/417959.html,联发龙洲湾1号,巴南龙洲湾盛龙路701号（海洋公园旁）,待售,住宅,"轨交房,改善房,美食街,广场",None,400-603-2266 转 73491,75,"['2室', '3室', '别墅']",78.7-121
https://cq.fang.anjuke.com/loupan/430831.html,协信天骄星城,巴南李家沱李家沱正街230号（都和广场旁）,在售,住宅,"即将开盘,刚需房,广场,飘窗",均价12000/元/㎡,400-603-2266 转 47034,53,"['2室', '3室', '4室']",69.02-159.04
https://cq.fang.anjuke.com/loupan/250559.html,融创欧麓花园城,巴南鹿角甘泉路288号,在售,住宅,"即将开盘,洋房,改善房,低密度",最低10200/元/㎡起,400-603-2266 转 23656,170,"['4室', '别墅']",125.76-260
https://cq.fang.anjuke.com/loupan/250802.html,佳兆业广场,巴南龙洲湾龙洲大道195号,在售,住宅,"轨交房,飘窗,双卫,综合体",均价7500/元/㎡,400-603-2266 转 23901,38,"['1室', '2室']",69.18-94.48
https://cq.fang.anjuke.com/loupan/389624.html,协信天骄溪悦,巴南李家沱龙洲大道1399号,在售,住宅,"轨交房,即将开盘,飘窗,公园",均价8300/元/㎡,400-603-2266 转 41310,161,"['1室', '2室', '3室']",80.28-100.47
https://cq.fang.anjuke.com/loupan/250080.html,旭辉城,巴南龙洲湾渝南大道233号,待售,公寓,"轨交房,即将开盘,大型超市,刚需房",None,400-603-2266 转 23170,202,"['1室', '2室', '3室']",47-106.89
https://cq.fang.anjuke.com/loupan/417249.html,京汉凤凰城,巴南龙洲湾渝南大道353号（海洋公园旁）,待售,住宅,"轨交房,改善房,学校,品牌开发商",None,400-603-2266 转 72774,77,"['1室', '2室', '3室']",71-132
https://cq.fang.anjuke.com/loupan/246835.html,启迪协信星澜汇,巴南鱼洞尚文大道210号,在售,住宅,"轨交房,改善房,学校,刚需房",均价8000/元/㎡,400-603-2266 转 19803,77,"['2室', '3室', '4室']",72-157
https://cq.fang.anjuke.com/loupan/389677.html,鲁能南渝星城,巴南鱼洞箭河路600号,在售,住宅,"轨交房,品牌开发商,飘窗,使用面积多",最低7100/元/㎡起,400-603-2266 转 41537,94,"['1室', '2室', '4室']",46.53-178
https://cq.fang.anjuke.com/loupan/430822.html,华润澜山望,巴南巴滨路巴滨湿地公园旁,待售,住宅,"即将开盘,改善房,车位充足,学校",None,400-603-2266 转 47023,24,"['3室', '4室']",94-147
https://cq.fang.anjuke.com/loupan/416688.html,荣盛滨江华府,巴南巴滨路巴滨路120号,在售,住宅,"学校,品牌开发商,银行,景区",最低8500/元/㎡起,400-603-2266 转 68649,69,"['2室', '3室', '别墅']",89-245
https://cq.fang.anjuke.com/loupan/417485.html,清能小南海花园,巴南龙洲湾巴滨路与龙海大道交汇处东200米,待售,住宅,"改善房,品牌开发商,飘窗,双卫",None,400-603-2266 转 73013,45,"['2室', '3室']",76-166
https://cq.fang.anjuke.com/loupan/417450.html,中国铁建花语佰骊,巴南李家沱花溪街道先锋村,待售,住宅,"即将开盘,改善房,学校,品牌开发商",None,400-603-2266 转 72977,47,"['2室', '3室', '别墅']",84-130.22
https://cq.fang.anjuke.com/loupan/241172.html,华宇龙湾,巴南巴滨路巴滨路68号,在售,住宅,"医院,品牌开发商,公园,双卫",总价170/万元/套,400-603-2266 转 13707,82,"['3室', '4室', '5室']",108.32-366
https://cq.fang.anjuke.com/loupan/250333.html,阳光100阿尔勒,"巴南龙洲湾渝南大道,近兰海高速",在售,别墅,"轨交房,带泳池,学校,医院",总价160/万元/套起,400-603-2266 转 23427,40,['别墅'],123-174
https://cq.fang.anjuke.com/loupan/431772.html,荣安明月江南,巴南其他鱼洞含笑公园旁,待售,住宅,"轨交房,改善房,大型超市,学校",None,400-603-2266 转 53851,20,"['3室', '4室']",88.15-121.65
https://cq.fang.anjuke.com/loupan/400677.html,远洋公园原香,巴南龙洲湾渝南大道161号,在售,别墅,"轨交房,改善房,学校,医院",总价270/万元/套起,400-603-2266 转 59725,32,['别墅'],147-298
https://cq.fang.anjuke.com/loupan/248782.html,东海定南山,巴南南泉渝南大道115号,在售,别墅,"轨交房,即将开盘,学校,医院",总价190/万元/套起,400-603-2266 转 21816,24,"['5室', '别墅']",202-329
https://cq.fang.anjuke.com/loupan/431225.html,碧桂园保利云禧,巴南龙洲湾轻轨3号线鱼胡路站旁,待售,住宅,"轨交房,改善房,大型超市,学校",None,400-603-2266 转 52978,20,[],322793
https://cq.fang.anjuke.com/loupan/431804.html,朗基八俊里,巴南其他渝南大道（轻轨3号线八公里站旁）,待售,住宅,"即将开盘,轨交房,学校,品牌开发商",None,400-603-2266 转 53883,11,"['2室', '3室']",78-97
https://cq.fang.anjuke.com/loupan/239157.html,丽都锦城,巴南李家沱渝南大道32号,在售,住宅,"轨交房,大型超市,学校,刚需房",均价9900/元/㎡,400-603-2266 转 11561,47,"['2室', '3室']",62.1-83.55
https://cq.fang.anjuke.com/loupan/246315.html,宗申金蓝湾,巴南巴滨路巴滨路888号,在售,住宅,"大型超市,学校,飘窗,公园",均价10000/元/㎡,400-603-2266 转 19213,32,"['2室', '3室', '4室']",81-153
https://cq.fang.anjuke.com/loupan/417103.html,IN半岛里,巴南李家沱汇南二路99号,在售,住宅,"学校,医院,飘窗,银行",最低8010/元/㎡起,400-603-2266 转 72626,29,"['2室', '3室']",48.17-67.99
https://cq.fang.anjuke.com/loupan/383736.html,融汇半岛江上公馆,巴南巴滨路融汇大道1号,在售,住宅,"飘窗,双卫,使用面积多,大户型",均价10000/元/㎡,400-603-2266 转 40720,62,"['2室', '3室']",71-123
https://cq.fang.anjuke.com/loupan/251878.html,珠江城,"巴南巴滨路巴滨路,近立崧路",在售,住宅,"刚需房,学校,商场,飘窗",最低7600/元/㎡起,400-603-2266 转 27483,104,"['1室', '2室', '3室', '别墅']",50.52-126.34
https://cq.fang.anjuke.com/loupan/431661.html,华宇小泉雅舍,巴南龙洲湾渝南大道中段轻轨3号线花溪站旁,在售,住宅,"轨交房,学校,品牌开发商,银行",均价9500/元/㎡,400-603-2266 转 53676,12,"['3室', '4室', '5室', '别墅']",115.66-181.06
https://cq.fang.anjuke.com/loupan/434211.html,麓铭府,巴南鹿角福鹿大道,待售,住宅,,None,400-603-2266 转 58515,11,[],500000
https://cq.fang.anjuke.com/loupan/431374.html,和泓文华府,巴南其他渝南大道1388号（重庆文化艺术职业学院...,待售,住宅,"品牌开发商,综合体,低总价,景观小区",None,400-603-2266 转 53180,12,"['2室', '3室']",100.73-115.84
https://cq.fang.anjuke.com/loupan/434115.html,重庆首创奥特莱斯,巴南鹿角天鹿大道与通江大道交汇处,待售,店铺,,None,400-603-2266 转 58408,10,[],127645
https://cq.fang.anjuke.com/loupan/431156.html,敬澜山,巴南龙洲湾龙洲大道起点,待售,住宅,"轨交房,即将开盘,改善房,带泳池",None,400-603-2266 转 52887,15,[],263056
https://cq.fang.anjuke.com/loupan/415770.html,曦圆创景,巴南龙洲湾龙洲大道1968号,在售,别墅,"轨交房,改善房,学校,医院",总价120/万元/套,400-603-2266 转 59972,27,['别墅'],102.35
https://cq.fang.anjuke.com/loupan/417524.html,启迪协信星麓原,巴南鹿角通江大道与金鹿大道交汇处（首创奥特莱...,待售,住宅,"改善房,学校,品牌开发商,公园",None,400-603-2266 转 73052,48,"['2室', '3室']",79-130
https://cq.fang.anjuke.com/loupan/401004.html,中交锦悦,巴南龙洲湾巴南区龙洲湾街道盛龙路1129号,待售,住宅,"轨交房,学校,品牌开发商,商场",None,400-603-2266 转 62850,111,"['2室', '3室']",67.06-89.07
https://cq.fang.anjuke.com/loupan/251873.html,依云江湾,巴南龙洲湾巴滨路777号,在售,住宅,"刚需房,综合体,车位充足,大挑高",总价53/万元/套,400-603-2266 转 27477,27,"['2室', '4室', '别墅']",51-167.8
https://cq.fang.anjuke.com/loupan/430796.html,协信时光里,巴南李家沱渝南大道20号,待售,住宅,"即将开盘,轨交房,改善房,车位充足",None,400-603-2266 转 46622,29,"['2室', '3室']",79.78-109.89
https://cq.fang.anjuke.com/loupan/251335.html,巴南万达广场,巴南龙洲湾渝南大道299号,在售,公寓,"轨交房,刚需房,品牌开发商,商场",最低7500/元/㎡起,400-603-2266 转 26467,76,"['1室', '2室', '3室']",44-116
https://cq.fang.anjuke.com/loupan/251419.html,芸峰兰亭,巴南李家沱民主村,待售,住宅,"轨交房,改善房,刚需房,飘窗",None,400-603-2266 转 26746,50,"['2室', '3室']",64.08-100.52
https://cq.fang.anjuke.com/loupan/427746.html,重庆华南城,巴南界石东城大道8号,在售,购物中心,"学校,商场,综合体,银行",最低8000/元/㎡起,400-603-2266 转 97112,13,[],13500000
https://cq.fang.anjuke.com/loupan/415419.html,东邦小悦湾,"巴南李家沱巴滨路,近李渡路",在售,别墅,"轨交房,学校,飘窗,公园",总价158/万元/套起,400-603-2266 转 54939,31,"['2室', '3室']",64-77
https://cq.fang.anjuke.com/loupan/415683.html,重庆高职城西部人才产业园,巴南龙洲湾尚文大道,在售,店铺,"即将开盘,大型超市,美食街,广场",均价30000/元/㎡,400-603-2266 转 59397,1,[],26.19-880
https://cq.fang.anjuke.com/loupan/431908.html,中建瑜和城,巴南李家沱王家坝路东,待售,别墅,"轨交房,改善房,学校,刚需房",None,400-603-2266 转 54136,22,[],95708
https://cq.fang.anjuke.com/loupan/415827.html,恒大香山华府,九龙坡高新区六合路,在售,住宅,"学校,商场,银行,大型社区",最低6999/元/㎡起,400-060-8203,37,"['2室', '3室', '4室']",79-197
https://cq.fang.anjuke.com/loupan/427933.html,国宾壹号院,九龙坡石桥铺虎歇路49号,在售,住宅,"轨交房,即将开盘,改善房,品牌开发商",均价23000/元/㎡,400-603-2266 转 97299,20,"['4室', '5室']",187-295
https://cq.fang.anjuke.com/loupan/249419.html,北大资源燕南,九龙坡杨家坪兴堰路11号,在售,住宅,"轨交房,学校,刚需房,医院",均价14500/元/㎡,400-603-2266 转 22486,114,"['1室', '2室', '3室', '4室']",47.25-118.21
https://cq.fang.anjuke.com/loupan/416058.html,保利金香槟,九龙坡华岩新城华美路20号,在售,住宅,"轨交房,品牌开发商,广场,商场",最低8900/元/㎡起,400-603-2266 转 62434,138,"['2室', '3室', '4室']",54-108
https://cq.fang.anjuke.com/loupan/247673.html,保利爱尚里,九龙坡石坪桥石坪桥正街119号,在售,住宅,"轨交房,改善房,刚需房,学校",总价95/万元/套,400-603-2266 转 20688,261,"['1室', '2室', '3室', '4室']",54-99
https://cq.fang.anjuke.com/loupan/409272.html,和威山千院,"九龙坡白市驿天赐路,近龙华路",在售,住宅,"广场,运动健身,大型社区,景观小区",最低6300/元/㎡起,400-603-2266 转 24201,34,"['1室', '2室', '3室']",31.62-103
https://cq.fang.anjuke.com/loupan/411768.html,隆鑫盛世普天,九龙坡高新区科城路65号,在售,住宅,"轨交房,改善房,大型超市,刚需房",均价11300/元/㎡,400-603-2266 转 28184,94,"['2室', '3室', '5室']",69.31-265
https://cq.fang.anjuke.com/loupan/241151.html,保利时代广场,九龙坡杨家坪兴胜路4号,在售,公寓,"轨交房,学校,品牌开发商,医院",均价13000/元/㎡,400-603-2266 转 13686,49,['公寓'],70-70
https://cq.fang.anjuke.com/loupan/251180.html,华宇锦绣花城,九龙坡华岩新城华福大道北段69号,在售,住宅,"轨交房,刚需房,品牌开发商,飘窗",均价12000/元/㎡,400-603-2266 转 26028,150,"['2室', '3室', '4室']",63.81-135.85
https://cq.fang.anjuke.com/loupan/253097.html,通用晶城,九龙坡石桥铺龙腾大道209号,在售,住宅,"轨交房,酒店式公寓,学校,医院",均价14500/元/㎡,400-603-2266 转 91626,179,"['1室', '2室', '3室', '4室', '公寓']",42.1-84.36
https://cq.fang.anjuke.com/loupan/416922.html,中粮鸿云,九龙坡盘龙彩云大道12号,在售,公寓,"轨交房,品牌开发商,三房朝南,小三室",总价40/万元/套起,400-603-2266 转 72444,179,"['3室', '4室']",79.61-122.43
https://cq.fang.anjuke.com/loupan/239837.html,春风与湖,九龙坡高新区石杨路266号,在售,住宅,"轨交房,改善房,湖景,刚需房",均价14600/元/㎡,400-603-2266 转 12263,50,"['2室', '3室', '4室']",57.04-153.19
https://cq.fang.anjuke.com/loupan/414943.html,中昂彩云台,九龙坡高新区科城路166号,在售,公寓,"轨交房,大型超市,综合体,低单价",均价11000/元/㎡,400-603-2266 转 28796,32,"['2室', '公寓']",59.34-92
https://cq.fang.anjuke.com/loupan/429645.html,印江州,九龙坡石桥铺石杨路186号,在售,住宅,"新开盘,轨交房,改善房,运动健身",均价19000/元/㎡,400-603-2266 转 99028,46,"['3室', '4室']",125-189
https://cq.fang.anjuke.com/loupan/415296.html,江厦星光汇,九龙坡杨家坪石杨路18号,在售,公寓,"轨交房,品牌开发商,低单价,低总价",均价12500/元/㎡,400-603-2266 转 49500,18,"['2室', '公寓']",41.88-84.48
https://cq.fang.anjuke.com/loupan/416577.html,鹏润悦秀城,九龙坡石桥铺红阳村11号,在售,公寓,"轨交房,刚需房,美食街,品牌开发商",最低13000/元/㎡起,400-603-2266 转 63329,27,['公寓'],37-39
https://cq.fang.anjuke.com/loupan/414568.html,中迪广场,九龙坡杨家坪杨正街8号（正街入口大洋百货旁）,在售,None,"轨交房,美食街,广场,商场",总价250/万元/套起,400-603-2266 转 55413,51,[],42.64-57.39
https://cq.fang.anjuke.com/loupan/383105.html,旭城公园府邸,九龙坡其他白彭路350号,在售,住宅,"洋房,银行,景观小区,车位充足",均价6200/元/㎡,400-603-2266 转 40370,38,"['1室', '2室', '3室']",51.32-97.9
https://cq.fang.anjuke.com/loupan/415411.html,云飞九龙香山,九龙坡巴国城冬山路10号,待售,住宅,"轨交房,刚需房,广场,综合体",None,400-603-2266 转 54909,42,['2室'],50.02-66.36
https://cq.fang.anjuke.com/loupan/238401.html,恒大雅苑,九龙坡华岩新城华福大道北段29号,在售,住宅,"轨交房,大型超市,刚需房,学校",最低10100/元/㎡起,400-603-2266 转 10772,43,"['2室', '3室', '4室']",102.38-160
